The 2500 is for the radiant dye and the 3098 is for Thorlabs black.
x_peak: 2495, y_peak: 2052, x0: 2495.0, y0: 2052.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3102, y_peak: 1958, x0: 3102.0, y0: 1958.0, A: 3.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2501, y_peak: 2055, x0: 2501.0, y0: 2055.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3094, y_peak: 1961, x0: 3094.0, y0: 1961.0, A: 3.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2499, y_peak: 2052, x0: 2499.0, y0: 2052.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3099, y_peak: 1969, x0: 3099.0, y0: 1969.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2500, y_peak: 2050, x0: 2500.0, y0: 2050.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3110, y_peak: 1976, x0: 3110.0, y0: 1976.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2497, y_peak: 2049, x0: 2497.0, y0: 2049.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3102, y_peak: 1969, x0: 3102.0, y0: 1969.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2495, y_peak: 2064, x0: 2495.0, y0: 2064.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3092, y_peak: 1977, x0: 3092.0, y0: 1977.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3104, y_peak: 1996, x0: 3104.0, y0: 1996.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2500, y_peak: 2030, x0: 2500.0, y0: 2030.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2489, y_peak: 2052, x0: 2489.0, y0: 2052.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3096, y_peak: 1959, x0: 3096.0, y0: 1959.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3093, y_peak: 1979, x0: 3093.0, y0: 1979.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2503, y_peak: 2041, x0: 2503.0, y0: 2041.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2508, y_peak: 2044, x0: 2508.0, y0: 2044.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3094, y_peak: 1966, x0: 3094.0, y0: 1966.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2494, y_peak: 2040, x0: 2494.0, y0: 2040.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3098, y_peak: 1993, x0: 3098.0, y0: 1993.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2487, y_peak: 2059, x0: 2487.0, y0: 2059.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3095, y_peak: 1961, x0: 3095.0, y0: 1961.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2497, y_peak: 2046, x0: 2497.0, y0: 2046.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3092, y_peak: 1961, x0: 3092.0, y0: 1961.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3092, y_peak: 1985, x0: 3092.0, y0: 1985.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2496, y_peak: 2031, x0: 2496.0, y0: 2031.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3091, y_peak: 1980, x0: 3091.0, y0: 1980.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2488, y_peak: 2042, x0: 2488.0, y0: 2042.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2493, y_peak: 2060, x0: 2493.0, y0: 2060.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3090, y_peak: 1961, x0: 3090.0, y0: 1961.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3106, y_peak: 1979, x0: 3106.0, y0: 1979.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2505, y_peak: 2037, x0: 2505.0, y0: 2037.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2493, y_peak: 2051, x0: 2493.0, y0: 2051.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3102, y_peak: 1967, x0: 3102.0, y0: 1967.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3091, y_peak: 1989, x0: 3091.0, y0: 1989.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2503, y_peak: 2037, x0: 2503.0, y0: 2037.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2507, y_peak: 2063, x0: 2507.0, y0: 2063.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3088, y_peak: 1963, x0: 3088.0, y0: 1963.0, A: 3.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2506, y_peak: 2057, x0: 2506.0, y0: 2057.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3104, y_peak: 1971, x0: 3104.0, y0: 1971.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2508, y_peak: 2039, x0: 2508.0, y0: 2039.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3087, y_peak: 1964, x0: 3087.0, y0: 1964.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2500, y_peak: 2069, x0: 2500.0, y0: 2069.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3097, y_peak: 1991, x0: 3097.0, y0: 1991.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2497, y_peak: 2058, x0: 2497.0, y0: 2058.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3100, y_peak: 1963, x0: 3100.0, y0: 1963.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2499, y_peak: 2030, x0: 2499.0, y0: 2030.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3097, y_peak: 1975, x0: 3097.0, y0: 1975.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
